2I;482;70;1583494;681542;901952;612534;808896;58376;81875;2339;2759;8293;8422;20493;27475;593447;783141;57508;80608;2218;2629;7876;8099
2I;482;71;1505553;639843;865710;579442;783183;50726;72061;2181;2597;7494;7869;20049;27118;560722;757433;49962;71089;2045;2488;7065;7582
2I;482;72;1424277;598220;826057;541478;747045;47632;69412;1858;2498;7252;7102;18203;24432;524378;724042;47013;68342;1777;2394;6849;6847
2I;482;73;1323050;546405;776645;496078;704741;42033;63151;1696;2320;6598;6433;16621;22278;480465;683688;41467;62268;1621;2216;6231;6195
2I;482;74;1271180;515594;755586;464930;684371;42494;62838;1672;2261;6498;6116;15968;21231;449977;664265;41924;62028;1598;2166;6127;5896
2I;482;75;1181629;473135;708494;427087;642949;38692;57874;1538;2059;5818;5612;14863;19873;413193;624086;38157;57096;1458;1988;5464;5451
2I;482;76;1092994;428042;664952;386232;604111;35181;53775;1414;1930;5215;5136;13777;18603;373282;586442;34674;53097;1354;1854;4955;4956
2I;482;77;1011794;387378;624416;349175;567470;32107;50318;1383;1763;4713;4865;12717;17630;337257;550656;31661;49727;1312;1682;4431;4721
2I;482;78;926447;347994;578453;314196;527017;28489;45498;1205;1577;4104;4361;11652;15677;303246;512077;28062;44950;1147;1515;3887;4234
2I;482;79;848818;313717;535101;283159;487506;25881;42177;1046;1445;3631;3973;10579;14006;273217;474256;25480;41602;994;1382;3447;3855
2I;482;80;758222;272807;485415;245930;442952;22886;37690;900;1272;3091;3501;8896;12196;237579;431311;22568;37260;857;1229;2907;3419
2I;482;81;674241;235638;438603;216367;406656;16008;27866;731;1093;2532;2988;8600;12750;208230;394462;15736;27450;691;1049;2381;2892
2I;482;82;599081;207241;391840;190214;363178;14391;25132;603;878;2033;2652;6497;9091;184066;354447;14176;24864;577;844;1925;2594
2I;482;83;552534;186732;365802;171133;339013;13320;23589;519;795;1760;2405;5255;7594;166171;331776;13134;23309;497;758;1675;2365
2I;482;84;499125;163950;335175;149583;309688;12396;22386;461;797;1510;2304;4337;6701;145481;303332;12233;22109;442;764;1457;2269
2I;482;85;429849;137142;292707;124518;270720;10678;19412;464;659;1482;1916;3730;5873;121109;265140;10453;19181;444;630;1406;1883
2I;482;86;370723;114938;255785;104570;237165;8836;16485;384;572;1148;1563;3290;5243;101551;232137;8645;16316;364;548;1088;1541
2I;482;87;327221;101151;226070;91868;209028;8237;15204;330;556;716;1282;2970;4503;89165;204743;8042;15033;313;532;661;1259
2I;482;88;276509;83255;193254;75878;178598;6594;13066;262;494;521;1096;2532;3868;73570;174919;6412;12917;247;467;494;1083
2I;482;89;234693;68549;166144;62300;153064;5598;11775;239;413;412;892;2066;3280;60417;149942;5455;11649;220;394;391;879
2I;482;90;186946;53117;133829;48521;123780;4069;9017;183;328;344;704;1576;2655;47065;121260;3977;8919;169;309;330;686
2I;482;91;148657;41065;107592;37637;99692;2958;7013;145;252;325;635;1166;2148;36523;97647;2921;6937;138;238;317;622
2I;482;92;117352;31740;85612;28989;79149;2301;5728;127;196;323;539;912;1738;28119;77489;2278;5669;119;189;312;527
2I;482;93;90813;24173;66640;21914;61429;1885;4626;104;154;270;431;688;1341;21262;60152;1865;4580;99;146;259;421
2I;482;94;69028;17977;51051;16199;46909;1492;3671;78;124;208;347;510;1040;15722;45924;1470;3631;76;119;199;337
2I;482;95;49827;12383;37444;11109;34323;1070;2784;56;92;148;245;357;763;10774;33604;1059;2749;53;88;140;240
2I;482;96;35504;8487;27017;7554;24700;797;2084;35;62;101;171;251;545;7319;24185;789;2060;33;59;95;168
2I;482;97;25002;5919;19083;5169;17339;659;1585;31;43;60;116;165;389;5013;16976;655;1563;29;41;57;114
2I;482;98;16910;3935;12975;3362;11708;519;1160;16;34;38;73;111;265;3260;11464;513;1144;15;32;36;70
2I;482;99;11260;2441;8819;1995;7864;416;893;3;14;27;48;91;185;1916;7690;408;885;2;13;24;46
2I;482;100;17836;3528;14308;2565;12188;850;1998;36;35;77;87;178;368;2413;11856;832;1971;34;32;71;81
2I;782;999;231664458;112579409;119085049;96584029;101453420;12999872;14508503;759840;777468;2235668;2345658;8143206;8096300;88923923;93857800;12681220;14174925;700552;719160;2130508;2236864
2I;782;0;3643570;1863698;1779872;1527130;1449287;273343;269589;17894;17506;45331;43490;191276;182291;1347137;1277952;265857;262288;16565;16217;42863;41124
2I;782;1;3489139;1785996;1703143;1467361;1390706;259018;254518;16587;16043;43030;41876;179505;170928;1297987;1229661;252320;247939;15411;14905;40773;39710
2I;782;2;3436728;1755756;1680972;1433890;1364443;262833;258597;17128;16770;41905;41162;184028;177812;1260913;1197324;255590;251622;15555;15232;39670;38982
2I;782;3;3361224;1717396;1643828;1402779;1334462;257381;252937;16789;16186;40447;40243;178897;171871;1234966;1173323;250182;246011;15124;14550;38227;38073
2I;782;4;3297168;1686569;1610599;1379263;1309322;252270;247789;15758;15253;39278;38235;176194;169084;1213898;1150645;245278;240997;14122;13711;37077;36162
2I;782;5;3273883;1675690;1598193;1369902;1298703;252644;247578;15215;14471;37929;37441;175737;169335;1204700;1139488;245744;240868;13664;13018;35845;35484
2I;782;6;3133165;1602374;1530791;1313772;1247333;237261;233418;14486;14044;36855;35996;172159;165747;1151570;1091020;230640;227322;13050;12611;34955;34091
2I;782;7;3235675;1657479;1578196;1359284;1288017;244890;239479;14705;14159;38600;36541;171105;164784;1198152;1132387;238348;233500;13322;12861;36552;34664
2I;782;8;3057900;1566118;1491782;1280425;1212343;233582;229062;14492;14187;37619;36190;158661;153214;1131186;1068084;227539;223288;13146;12899;35586;34297
2I;782;9;3257322;1665080;1592242;1354073;1286810;254610;251050;15968;15695;40429;38687;165803;158913;1198253;1137624;248316;244874;14473;14252;38235;36579
2I;782;10;3499586;1791596;1707990;1462836;1386663;271337;266013;16326;15785;41097;39529;166021;159213;1306624;1236848;265152;260028;14925;14444;38874;37457
2I;782;11;3763436;1926501;1836935;1583761;1503630;285322;278209;16745;16417;40673;38679;169951;164096;1423966;1349156;278768;272029;15348;15069;38468;36585
2I;782;12;3682678;1882801;1799877;1562307;1486158;263830;259660;16898;16553;39766;37506;164302;159519;1407743;1336126;257618;253586;15481;15170;37657;35476
2I;782;13;3623857;1849213;1774644;1527429;1458259;265448;263040;16678;16218;39658;37127;156287;152628;1380453;1314828;259375;257068;15372;14911;37726;35209
2I;782;14;3575021;1827229;1747792;1506356;1432350;266633;264338;16382;15710;37858;35394;153569;149190;1362071;1292523;260509;258059;15110;14466;35970;33554
2I;782;15;3681408;1877750;1803658;1548379;1480537;275670;272636;16463;16274;37238;34211;155916;152574;1402183;1337719;269180;266069;15158;14989;35313;32307
2I;782;16;3787043;1934125;1852918;1589519;1518146;289755;284318;16951;16151;37900;34303;161475;155434;1438137;1372556;282961;277585;15621;14899;35931;32444
2I;782;17;4013718;2052828;1960890;1695084;1613199;300495;295154;18186;17353;39063;35184;171401;162338;1534378;1461183;293097;288104;16846;16038;37106;33227
