year,16-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 years and over
2004,5907,13723,14615,15808,16370,18210,17586,14883,11166,6166,2614,1234,971,30423,34580,32469,17331,4819
2005,5978,13792,15116,15564,16430,18200,17886,15321,11873,6476,2748,1316,1031,30680,34630,33207,18349,5094
2006,6162,13878,15782,15269,16647,17923,18190,15862,12551,6839,2891,1381,1053,31051,34569,34052,19389,5325
2007,5911,13964,16247,15339,16677,17625,18285,16278,12691,7417,3074,1408,1132,31586,34302,34563,20108,5614
2008,5573,13629,16171,15212,16408,17049,18106,16423,12969,7843,3307,1462,1211,31383,33457,34529,20812,5979
2009,4837,12764,15315,14699,15486,16031,17455,16158,12887,8132,3380,1535,1199,30014,31517,33613,21019,6114
2010,4378,12699,15417,14812,14950,15712,17019,16172,13151,8485,3509,1538,1221,30229,30663,33191,21636,6268
2011,4327,13036,15380,15158,14512,15758,16594,16272,13389,8796,3750,1639,1258,30537,30270,32867,22186,6647
2012,4426,13408,15293,15408,14560,16016,16371,16503,14015,9224,4133,1794,1319,30701,30576,32874,23239,7245
2013,4458,13599,15457,15786,14752,15898,16003,16520,14381,9395,4379,1906,1396,31242,30650,32523,23776,7681
2014,4548,13894,15868,16107,15144,15822,15889,16666,14515,9880,4546,1973,1451,31975,30966,32556,24395,7971
2015,4734,14022,16437,16305,15559,15693,16024,16619,14818,10157,4926,2021,1517,32742,31252,32643,24975,8465
2016,4965,14027,17088,16634,16121,15441,16298,16421,15031,10493,5168,2165,1583,33722,31562,32720,25524,8916
2017,5074,14132,17621,16817,16477,15415,16365,16138,15134,10930,5219,2388,1627,34439,31892,32503,26064,9234
2018,5126,14051,18073,17251,16947,15670,16412,15961,15226,11339,5417,2525,1764,35324,32616,32373,26565,9705
2019,5150,14172,18211,17597,17248,15880,16260,15781,15348,11545,5765,2679,1903,35807,33127,32042,26893,10347
