Cohort (Total births),Diagonal Line for Calendar Year,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1906,1920,3.6,12.7,27.2,55.9,94.7,120.8,136.3,144.9,144.9,144.1,143.3,132.8,122.3,111.9,108.9,102.5,89.4,83.4,75.3,69.8,63.7,58,52.6,51.5,45,38.2,28.7,21.4,14,9.5,5.4,3,1.4,0.5,0.2,0.1
1907,1921,3.8,11.2,27.3,58.5,92.1,118,133.6,137.9,139.4,144.1,136.3,128.2,115.3,115.2,106.3,100,90.3,85,75,71.1,64.9,61.8,57.8,53,46.4,38.9,29.2,20.3,13.7,9.3,5.5,3,1.4,0.5,0.1,0.1
1908,1922,3.4,11.4,28.9,58.2,90,115.6,127.1,132.7,139.6,136.3,131,119.9,118.1,111.7,103.6,100.3,91.8,84,76.7,72.3,70.2,67.6,59.9,54.6,47.1,38.6,27.1,19.7,13.1,9.1,5.5,2.9,1.6,0.5,0.1,0.1
1909,1923,3.5,12.1,29.5,57.1,87.9,110.2,121.8,133.7,133.1,131.9,123.4,124.5,116,110.4,105.7,103.6,91.7,87,79.5,80,76.7,69,62.9,56.6,47.9,36.6,27,19.5,13.6,9.5,5.7,2.9,1.5,0.5,0.2,0.1
1910,1924,3.7,12.4,28.7,56.5,83.8,105.3,123.1,126.6,128.3,124,127.6,121.4,115,112.4,109.3,102.4,95.2,89.9,86.1,87,77.5,72,65.5,57.4,45.2,36.5,27,20,14,9.6,5.7,2.8,1.5,0.5,0.2,0.1
1911,1925,3.9,12.5,29.5,54,80.5,107.6,117.4,123.6,121.6,129.5,126.5,122,118.3,117.3,108.4,106.7,99.2,95.5,93.8,86.4,80.5,75.9,66.9,54.1,44.7,36.1,27.6,20.5,14.2,9.8,5.8,3,1.5,0.6,0.1,0.1
1912,1926,3.9,12.9,27.7,52.4,82.3,101.4,114,115.8,126.4,128.2,126.3,124.6,122,115.1,112.6,110.9,107.5,104.1,93,88.8,85,76.7,62.2,52.9,44.2,36.7,28.1,20.7,14.8,9.8,5.7,3,1.4,0.6,0.1,0.1
1913,1927,4.1,12,27.2,53.7,77.4,98.5,106.3,121.3,126.5,128,129.9,129,120.8,119.9,118.6,121.3,115.1,102.6,95.6,95.3,86.7,71.6,61.1,52.6,45.1,37.7,28.4,21.3,14.6,9.9,5.6,2.8,1.5,0.6,0.1,0.1
1914,1928,3.7,11.7,27.8,49.9,74.8,91.4,111.9,121.8,126.8,132.4,134.5,127.6,126.6,127.7,132,128.7,111.6,105.5,104.7,97.9,81,70.9,61.2,54.3,47,38.2,29.3,21.2,14.9,9.9,5.6,3,1.5,0.5,0.1,0.1
1915,1929,3.7,12,26.1,48.3,69.3,96.2,112.6,121.7,130.9,136.7,132.5,133,134.6,141.9,138.4,122.7,113.4,117,108,91.2,80.2,71.2,63.3,56.2,47.4,39.2,29.4,21.7,14.9,9.5,5.7,2.8,1.4,0.6,0.1,0
