UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2010,19,4571411,2334906,2236505,1735327,1650125,374841,368295,36418,33419,113873,108375,6908,6287,67539,70004,1794360,1711288,403396,399898,57982,55112,139935,134793,13664,13065,1857023,1798895,1318203,1270379,350274,344477,21058,20052,108699,103220,4932,4538,53857,56229,1365212,1319510,373205,370111,36353,35563,130791,125510,10240,9888,477883,437610,417124,379746,24567,23818,15360,13367,5174,5155,1976,1749,13682,13775,429148,391778,30191,29787,21629,19549,9144,9283,3424,3177
R,7,2010,20,4568517,2331845,2236672,1740984,1653304,366606,365479,35928,32571,117676,112666,7200,6584,63451,66068,1796402,1711066,392726,394674,56496,53502,142480,137519,13624,12951,1854000,1807002,1323207,1280437,342412,341619,20484,19654,112477,107700,5080,4790,50340,52802,1367123,1326560,363143,365023,35028,34543,133490,128771,10103,9790,477845,429670,417777,372867,24194,23860,15444,12917,5199,4966,2120,1794,13111,13266,429279,384506,29583,29651,21468,18959,8990,8748,3521,3161
R,7,2010,21,4387956,2241083,2146873,1681770,1589738,340845,343772,34294,30768,118646,115169,6959,6283,58569,61143,1732822,1643046,364416,370276,53791,50152,141429,138684,12987,12286,1782982,1741285,1280963,1237414,318014,321120,19277,18565,113757,110340,4944,4632,46027,49214,1321031,1280246,336423,342503,32836,32515,133039,130423,9699,9387,458101,405588,400807,352324,22831,22652,15017,12203,4889,4829,2015,1651,12542,11929,411791,362800,27993,27773,20955,17637,8390,8261,3288,2899
R,7,2010,22,4287005,2188199,2098806,1658200,1568096,317803,323136,33611,30017,116597,113333,6925,6220,55063,58004,1706104,1618711,339394,347955,51965,48532,138413,135803,12680,12003,1728858,1697604,1254906,1219121,295902,301105,18411,17814,111928,108757,4867,4584,42844,46223,1292089,1259475,312533,320743,30957,30946,130355,127868,9347,9183,459341,401202,403294,348975,21901,22031,15200,12203,4669,4576,2058,1636,12219,11781,414015,359236,26861,27212,21008,17586,8058,7935,3333,2820
R,7,2010,23,4217228,2151068,2066160,1641488,1549468,302586,311808,32787,29052,115559,113654,6924,6134,51724,56044,1686464,1598381,322781,335498,50361,47406,135985,135308,12336,11636,1696861,1668592,1241666,1203162,281628,290313,17846,17160,110901,109196,4850,4445,39970,44316,1276283,1241778,296971,308885,29777,30073,128173,127640,9110,8791,454207,397568,399822,346306,20958,21495,14941,11892,4658,4458,2074,1689,11754,11728,410181,356603,25810,26613,20584,17333,7812,7668,3226,2845
R,7,2010,24,4243602,2161347,2082255,1656936,1566710,295745,307975,32594,29164,118438,118478,7061,6237,50573,53691,1700870,1613242,314951,330232,50107,47186,138408,139288,12451,11720,1700364,1681980,1250936,1217367,274471,286543,17185,16974,113863,114075,4931,4635,38978,42386,1284707,1254023,288928,303931,29101,29786,130697,131711,9164,8994,460983,400275,406000,349343,21274,21432,15409,12190,4575,4403,2130,1602,11595,11305,416163,359219,26023,26301,21006,17400,7711,7577,3287,2726
R,7,2010,25,4289428,2177131,2112297,1673964,1588778,293052,308214,32226,29126,121978,126736,6971,6265,48940,53178,1716504,1634961,311241,329500,49432,47256,141431,147721,12242,11733,1712581,1706709,1264194,1234290,272006,286751,16984,16902,117416,122374,4804,4660,37177,41732,1296353,1270417,285414,303054,28480,29722,133740,140270,8898,9012,464550,405588,409770,354488,21046,21463,15242,12224,4562,4362,2167,1605,11763,11446,420151,364544,25827,26446,20952,17534,7691,7451,3344,2721
R,7,2010,26,4160806,2102331,2058475,1617029,1545808,277768,296713,31320,28419,122534,130218,6676,6040,47004,51277,1657645,1590203,294989,316690,48083,46285,141418,150745,11933,11493,1654239,1660079,1221826,1197065,257629,276217,16368,16359,117990,126048,4677,4418,35749,39972,1252538,1231573,270283,291338,27613,28937,133906,143413,8818,8731,448092,398396,395203,348743,20139,20496,14952,12060,4544,4170,1999,1622,11255,11305,405107,358630,24706,25352,20470,17348,7512,7332,3115,2762
R,7,2010,27,4237026,2135178,2101848,1645581,1576880,279866,301796,31844,29017,123828,136520,6649,6168,47410,51467,1686637,1621303,297160,321759,48788,47290,142757,156929,11887,11643,1678427,1693264,1242089,1219643,259763,280257,16560,16617,119326,132247,4645,4528,36044,39972,1273097,1253999,272355,295307,28026,29402,135237,149556,8755,8863,456751,408584,403492,357237,20103,21539,15284,12400,4502,4273,2004,1640,11366,11495,413540,367304,24805,26452,20762,17888,7520,7373,3132,2780
R,7,2010,28,4247541,2134981,2112560,1647111,1583475,278700,303376,31136,28396,125185,140854,6715,6147,46134,50312,1686969,1626806,295341,323103,48047,46570,143430,160457,11924,11524,1677746,1699103,1242964,1220919,258566,282139,16158,15963,120645,136461,4720,4457,34693,39164,1272715,1254511,270585,297068,27463,28797,135835,153054,8794,8743,457235,413457,404147,362556,20134,21237,14978,12433,4540,4393,1995,1690,11441,11148,414254,372295,24756,26035,20584,17773,7595,7403,3130,2781
