date;dY_prod;dY_inc;dY;dhours;dLP;dk;dLQ_BLS_interpolated;dLQ_Aaronson_Sullivan;dLQ;alpha;dtfp;dutil;dtfp_util;relativePrice;invShare;dtfp_I;dtfp_C;du_invest;du_consumption;dtfp_I_util;dtfp_C_util
1966:Q2;0.35;1.99;1.17;2.86;-1.69;5.74;0.03;;0.03;0.34;-2.68;-0.64;-2.04;2.68;0.22;-0.58;-3.25;-2.94;-0.01;2.36;-3.25
1966:Q3;2.19;1.41;1.80;0.77;1.03;5.75;0.15;;0.15;0.33;-0.73;-1.69;0.96;2.30;0.22;1.07;-1.23;-4.14;-1.01;5.21;-0.22
1966:Q4;2.34;2.64;2.49;-0.88;3.37;5.92;0.26;;0.26;0.33;0.95;-2.81;3.76;1.54;0.22;2.15;0.61;-6.38;-1.82;8.53;2.43
1967:Q1;3.29;1.72;2.50;-0.26;2.76;6.01;0.38;;0.38;0.33;0.45;-7.34;7.79;1.02;0.21;1.26;0.24;-15.02;-5.30;16.27;5.54
1967:Q2;-0.58;1.94;0.68;-3.98;4.66;5.38;0.15;;0.15;0.33;1.50;-2.99;4.49;-0.09;0.22;1.43;1.52;-3.29;-2.91;4.72;4.43
1967:Q3;3.35;3.86;3.61;2.47;1.13;4.75;-0.07;;-0.07;0.33;0.44;2.07;-1.63;-0.01;0.21;0.43;0.44;7.70;0.55;-7.27;-0.11
1967:Q4;2.73;3.99;3.36;1.81;1.55;4.55;-0.30;;-0.30;0.33;0.86;-2.74;3.60;0.10;0.21;0.94;0.84;-8.60;-1.15;9.54;1.99
1968:Q1;8.95;6.16;7.55;0.35;7.20;4.51;-0.52;;-0.52;0.33;6.20;0.35;5.85;2.43;0.22;8.10;5.67;9.50;-2.20;-1.40;7.87
1968:Q2;7.14;6.39;6.77;3.07;3.70;4.69;-0.28;;-0.28;0.33;3.36;0.83;2.52;2.11;0.21;5.01;2.90;2.54;0.37;2.48;2.54
1968:Q3;2.89;5.80;4.35;2.22;2.13;4.85;-0.03;;-0.03;0.32;1.30;1.95;-0.65;-0.58;0.22;0.85;1.42;0.89;2.25;-0.04;-0.82
1968:Q4;1.57;3.03;2.30;2.35;-0.05;4.71;0.22;;0.22;0.32;-0.96;1.05;-2.00;1.97;0.22;0.58;-1.39;1.94;0.80;-1.36;-2.19
1969:Q1;6.94;3.95;5.45;5.68;-0.24;4.87;0.46;;0.46;0.32;-0.30;0.35;-0.65;2.34;0.22;1.53;-0.82;-5.15;1.92;6.68;-2.73
