"Table 1. Central birth rates, by live-birth order, current age, and race of women in each cohort from 1911 through 1991: United States, 1960-2005",,,,,,,,,,,
,,,,,,,,,,,
"[A cohort is identified by the year in which the women were born. Because these women retain this designation throughout their childbearing years, their fertility can be followed over time. Live-birth order refers to number of children born alive to mother. Central birth rates are per 1,000 women in specified single year of age cohort group and are based on births adjusted for underregistration (1960-1979 only) and numbers of women adjusted for misstatements of age in the censuses (1960-2005). For method of computation, see Technical Appendix to the Cohort Fertility Tables]",,,,,,,,,,,
,,,,,,,,,,,
Characteristics,,,                                  Live-birth order                          ,,,,,,,,
Race of women and calendar year,Current age of women,Cohort birth year,Total,1,2,3,4,5,6,7,8 and higher
1995,40,1955,13.4,2.9,3.8,2.8,1.7,0.9,0.5,0.3,0.5
1996,41,1955,9.4,2.0,2.6,2.0,1.2,0.6,0.4,0.2,0.4
1997,42,1955,6.3,1.3,1.7,1.3,0.8,0.4,0.3,0.2,0.3
1998,43,1955,3.9,0.8,1.0,0.8,0.5,0.3,0.2,0.1,0.2
1999,44,1955,2.1,0.4,0.5,0.4,0.2,0.2,0.1,0.1,0.2
2000,45,1955,1.3,0.3,0.3,0.2,0.2,0.1,0.1,0.0,0.1
2001,46,1955,0.8,0.2,0.2,0.1,0.1,0.1,0.0,0.0,0.1
2002,47,1955,0.3,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0
2003,48,1955,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,49,1955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970,14,1956,6.7,6.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1971,15,1956,19.4,17.8,1.5,0.1,0.0,NaN,NaN,NaN,NaN
1972,16,1956,39.6,35.0,4.2,0.4,0.0,NaN,NaN,NaN,NaN
1973,17,1956,61.6,51.3,9.1,1.1,0.1,NaN,NaN,NaN,NaN
1974,18,1956,79.8,60.7,16.3,2.5,0.3,NaN,NaN,NaN,NaN
1975,19,1956,91.1,61.8,24.0,4.6,0.7,NaN,NaN,NaN,NaN
1976,20,1956,98.1,58.5,30.8,7.2,1.4,0.2,0.0,0.0,0.0
1977,21,1956,108.7,56.9,38.3,10.6,2.3,0.5,0.1,0.0,0.0
1978,22,1956,112.8,53.2,41.3,13.8,3.5,0.8,0.2,0.0,0.0
1979,23,1956,119.7,52.2,44.5,16.8,4.6,1.2,0.3,0.1,0.0
1980,24,1956,122.2,51.0,44.9,18.8,5.5,1.5,0.4,0.1,0.0
1981,25,1956,119.2,47.2,43.5,19.7,6.2,1.8,0.5,0.2,0.1
1982,26,1956,116.5,42.9,43.3,20.4,6.8,2.1,0.7,0.2,0.1
1983,27,1956,111.0,38.6,41.2,20.3,7.3,2.4,0.8,0.3,0.1
1984,28,1956,105.2,34.2,39.4,20.1,7.3,2.6,1.0,0.4,0.2
1985,29,1956,99.5,30.3,37.3,20.0,7.6,2.7,1.0,0.4,0.2
1986,30,1956,89.6,25.7,33.2,18.8,7.4,2.7,1.1,0.4,0.3
1987,31,1956,82.3,22.3,30.1,18.0,7.2,2.7,1.1,0.5,0.4
1988,32,1956,74.9,18.9,26.8,17.0,7.1,2.8,1.2,0.6,0.5
1989,33,1956,66.4,15.8,23.0,15.6,6.8,2.8,1.3,0.6,0.5
1990,34,1956,58.5,13.4,19.8,13.9,6.3,2.7,1.2,0.6,0.6
1991,35,1956,48.3,10.6,15.8,11.5,5.5,2.4,1.2,0.6,0.7
1992,36,1956,39.7,8.6,12.6,9.3,4.7,2.2,1.0,0.6,0.7
1993,37,1956,32.0,6.8,10.0,7.5,3.9,1.8,0.9,0.5,0.6
1994,38,1956,25.0,5.3,7.6,5.7,3.1,1.5,0.8,0.4,0.6
1995,39,1956,19.0,4.0,5.6,4.2,2.4,1.2,0.6,0.4,0.6
1996,40,1956,14.0,3.0,4.1,3.0,1.7,0.9,0.5,0.3,0.5
1997,41,1956,9.8,2.1,2.7,2.1,1.2,0.7,0.4,0.2,0.4
1998,42,1956,6.7,1.4,1.8,1.4,0.8,0.5,0.3,0.2,0.3
1999,43,1956,3.9,0.8,1.0,0.8,0.5,0.3,0.2,0.1,0.2
2000,44,1956,2.5,0.5,0.6,0.5,0.3,0.2,0.1,0.1,0.2
2001,45,1956,1.3,0.3,0.3,0.2,0.2,0.1,0.1,0.0,0.1
2002,46,1956,0.7,0.2,0.2,0.1,0.1,0.0,0.0,0.0,0.1
2003,47,1956,0.3,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0
2004,48,1956,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2005,49,1956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1971,14,1957,6.8,6.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1972,15,1957,20.3,18.8,1.4,0.1,0.0,NaN,NaN,NaN,NaN
1973,16,1957,39.1,34.7,4.1,0.3,0.0,NaN,NaN,NaN,NaN
1974,17,1957,59.5,49.2,9.1,1.1,0.1,NaN,NaN,NaN,NaN
1975,18,1957,76.5,57.8,16.0,2.4,0.3,NaN,NaN,NaN,NaN
1976,19,1957,87.1,58.7,23.2,4.5,0.7,NaN,NaN,NaN,NaN
1977,20,1957,99.9,59.4,31.4,7.4,1.4,0.3,0.0,0.0,0.0
1978,21,1957,106.0,55.9,36.5,10.6,2.4,0.5,0.1,0.0,0.0
1979,22,1957,115.6,55.2,41.8,14.0,3.6,0.8,0.2,0.0,0.0
1980,23,1957,120.5,54.1,43.8,16.5,4.5,1.2,0.3,0.1,0.0
1981,24,1957,119.1,50.3,43.4,18.1,5.3,1.5,0.4,0.1,0.0
1982,25,1957,118.1,46.2,43.9,19.4,6.1,1.8,0.5,0.1,0.1
1983,26,1957,113.7,42.2,42.1,19.7,6.6,2.1,0.7,0.2,0.1
1984,27,1957,110.9,38.7,41.5,20.2,7.0,2.3,0.8,0.3,0.1
1985,28,1957,107.4,35.2,40.3,20.5,7.4,2.5,0.9,0.4,0.2
1986,29,1957,99.3,30.8,36.9,19.9,7.5,2.6,1.0,0.4,0.2
1987,30,1957,91.5,26.8,33.7,19.1,7.4,2.7,1.1,0.4,0.3
1988,31,1957,85.1,23.2,31.0,18.6,7.5,2.8,1.1,0.5,0.4
1989,32,1957,77.6,19.7,27.5,17.7,7.4,2.9,1.3,0.6,0.5
1990,33,1957,69.6,16.6,24.2,16.3,7.1,2.9,1.3,0.6,0.6
1991,34,1957,57.7,13.2,19.5,13.7,6.3,2.6,1.2,0.6,0.6
1992,35,1957,48.8,10.8,16.1,11.6,5.5,2.4,1.2,0.6,0.6
1993,36,1957,40.0,8.7,12.9,9.5,4.7,2.1,1.0,0.5,0.6
1994,37,1957,32.5,7.0,10.2,7.6,3.9,1.8,0.9,0.5,0.6
1995,38,1957,25.6,5.5,7.8,5.9,3.1,1.5,0.8,0.4,0.6
1996,39,1957,19.5,4.2,5.9,4.3,2.4,1.2,0.6,0.4,0.5
1997,40,1957,14.3,3.0,4.2,3.1,1.8,0.9,0.5,0.3,0.5
1998,41,1957,10.3,2.2,2.9,2.2,1.3,0.7,0.4,0.2,0.4
1999,42,1957,6.7,1.4,1.8,1.4,0.8,0.5,0.3,0.2,0.3
2000,43,1957,4.2,0.9,1.1,0.8,0.5,0.3,0.2,0.1,0.3
2001,44,1957,2.5,0.5,0.6,0.5,0.3,0.2,0.1,0.1,0.2
2002,45,1957,1.4,0.3,0.4,0.2,0.2,0.1,0.1,0.0,0.1
2003,46,1957,0.7,0.2,0.2,0.1,0.1,0.1,0.0,0.0,0.0
2004,47,1957,0.3,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0
2005,48,1957,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2006,49,1957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,14,1958,7.1,7.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1973,15,1958,20.3,18.9,1.3,0.1,0.0,NaN,NaN,NaN,NaN
1974,16,1958,37.7,33.3,4.1,0.3,0.0,NaN,NaN,NaN,NaN
1975,17,1958,57.2,47.2,8.9,1.0,0.1,NaN,NaN,NaN,NaN
1976,18,1958,72.3,54.4,15.3,2.3,0.3,NaN,NaN,NaN,NaN
1977,19,1958,87.7,59.1,23.3,4.6,0.7,NaN,NaN,NaN,NaN
1978,20,1958,97.6,58.3,30.2,7.4,1.4,0.3,0.0,0.0,0.0
1979,21,1958,108.5,57.8,36.8,10.8,2.5,0.5,0.1,0.0,0.0
1980,22,1958,117.0,57.3,41.3,13.9,3.5,0.8,0.2,0.0,0.0
1981,23,1958,117.2,53.1,42.4,15.9,4.3,1.1,0.3,0.1,0.0
1982,24,1958,118.3,49.3,43.8,17.9,5.3,1.5,0.4,0.1,0.0
1983,25,1958,114.7,45.0,42.6,18.8,5.9,1.7,0.5,0.1,0.1
1984,26,1958,113.1,42.0,42.1,19.6,6.5,2.0,0.6,0.2,0.1
1985,27,1958,113.1,39.6,42.3,20.6,7.1,2.3,0.8,0.3,0.1
1986,28,1958,106.8,35.5,39.6,20.3,7.4,2.5,0.9,0.4,0.2
1987,29,1958,101.5,32.1,37.4,20.2,7.5,2.7,1.0,0.4,0.2
1988,30,1958,94.5,27.8,34.6,19.7,7.7,2.8,1.1,0.5,0.3
1989,31,1958,88.0,24.1,31.7,19.2,7.8,3.0,1.2,0.6,0.4
1990,32,1958,81.3,20.8,28.8,18.5,7.7,3.1,1.3,0.6,0.5
1991,33,1958,68.4,16.4,23.8,15.9,7.0,2.8,1.3,0.6,0.6
1992,34,1958,58.6,13.4,20.0,13.8,6.3,2.6,1.3,0.6,0.6
1993,35,1958,49.3,11.0,16.4,11.7,5.5,2.4,1.1,0.6,0.6
1994,36,1958,40.8,9.0,13.2,9.7,4.7,2.1,1.0,0.5,0.6
1995,37,1958,33.2,7.2,10.5,7.8,3.9,1.8,0.9,0.5,0.6
1996,38,1958,26.3,5.6,8.2,6.0,3.2,1.5,0.8,0.4,0.6
1997,39,1958,20.2,4.3,6.1,4.5,2.5,1.2,0.6,0.4,0.6
1998,40,1958,15.0,3.2,4.4,3.3,1.9,0.9,0.5,0.3,0.5
1999,41,1958,10.3,2.2,2.9,2.2,1.3,0.7,0.4,0.2,0.4
2000,42,1958,7.1,1.5,1.9,1.4,0.9,0.5,0.3,0.2,0.4
2001,43,1958,4.4,0.9,1.1,0.9,0.6,0.3,0.2,0.1,0.3
2002,44,1958,2.7,0.6,0.7,0.5,0.3,0.2,0.1,0.1,0.2
2003,45,1958,1.4,0.3,0.4,0.2,0.2,0.1,0.1,0.0,0.1
2004,46,1958,0.7,0.2,0.2,0.1,0.1,0.0,0.0,0.0,0.1
2005,47,1958,0.3,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0
2006,48,1958,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2007,49,1958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973,14,1959,7.4,7.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1974,15,1959,19.7,18.3,1.3,0.1,0.0,NaN,NaN,NaN,NaN
1975,16,1959,36.4,32.2,3.9,0.3,0.0,NaN,NaN,NaN,NaN
1976,17,1959,54.0,44.4,8.5,1.0,0.1,NaN,NaN,NaN,NaN
1977,18,1959,72.6,54.5,15.4,2.4,0.3,NaN,NaN,NaN,NaN
1978,19,1959,86.0,58.1,22.6,4.6,0.7,NaN,NaN,NaN,NaN
1979,20,1959,100.3,60.5,30.4,7.6,1.5,0.3,0.0,0.0,0.0
1980,21,1959,110.6,60.3,36.5,10.7,2.4,0.6,0.1,0.0,0.0
1981,22,1959,114.2,56.0,40.3,13.5,3.4,0.8,0.2,0.0,0.0
1982,23,1959,117.0,52.1,42.9,16.1,4.4,1.1,0.3,0.1,0.0
1983,24,1959,114.7,47.7,42.5,17.5,5.1,1.4,0.4,0.1,0.0
1984,25,1959,114.3,44.9,42.5,18.7,5.8,1.7,0.5,0.1,0.1
1985,26,1959,115.4,42.9,42.9,20.1,6.6,2.0,0.6,0.2,0.1
1986,27,1959,112.5,39.9,41.5,20.4,7.2,2.3,0.8,0.3,0.1
1987,28,1959,109.1,36.8,40.0,20.8,7.5,2.5,0.9,0.4,0.2
1988,29,1959,104.6,33.3,38.2,20.8,7.9,2.7,1.1,0.4,0.2
1989,30,1959,97.6,29.0,35.3,20.4,8.0,2.9,1.2,0.5,0.3
1990,31,1959,91.8,25.4,32.9,20.0,8.1,3.1,1.3,0.6,0.4
1991,32,1959,79.6,20.4,28.3,17.9,7.6,3.0,1.3,0.6,0.5
1992,33,1959,69.2,16.6,24.3,16.0,7.0,2.8,1.3,0.6,0.6
1993,34,1959,59.1,13.6,20.3,13.9,6.3,2.6,1.2,0.6,0.6
1994,35,1959,50.0,11.3,16.6,11.9,5.5,2.4,1.1,0.6,0.6
1995,36,1959,41.7,9.3,13.6,9.9,4.7,2.1,1.0,0.5,0.6
1996,37,1959,34.2,7.5,10.9,8.0,4.0,1.8,0.9,0.5,0.6
1997,38,1959,27.0,5.8,8.4,6.2,3.3,1.5,0.8,0.4,0.6
1998,39,1959,21.0,4.5,6.4,4.7,2.6,1.2,0.7,0.4,0.5
1999,40,1959,15.2,3.2,4.5,3.3,1.9,1.0,0.5,0.3,0.5
2000,41,1959,11.0,2.4,3.1,2.3,1.4,0.7,0.4,0.3,0.4
2001,42,1959,7.1,1.5,1.9,1.5,0.9,0.5,0.3,0.2,0.3
2002,43,1959,4.6,1.0,1.2,0.9,0.6,0.3,0.2,0.1,0.3
2003,44,1959,2.7,0.6,0.7,0.5,0.3,0.2,0.1,0.1,0.2
2004,45,1959,1.5,0.3,0.4,0.3,0.2,0.1,0.1,0.0,0.1
2005,46,1959,0.7,0.2,0.2,0.2,0.1,0.0,0.0,0.0,0.0
2006,47,1959,0.3,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0
2007,48,1959,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2008,49,1959,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974,14,1960,7.2,7.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1975,15,1960,19.4,18.0,1.3,0.1,0.0,NaN,NaN,NaN,NaN
1976,16,1960,34.5,30.4,3.8,0.3,0.0,NaN,NaN,NaN,NaN
1977,17,1960,53.7,44.1,8.5,1.0,0.1,NaN,NaN,NaN,NaN
1978,18,1960,71.0,53.2,15.0,2.5,0.3,NaN,NaN,NaN,NaN
1979,19,1960,88.1,59.8,22.8,4.7,0.8,NaN,NaN,NaN,NaN
1980,20,1960,102.0,62.4,30.2,7.6,1.5,0.3,0.0,0.0,0.0
1981,21,1960,108.1,58.7,35.8,10.5,2.5,0.5,0.1,0.0,0.0
1982,22,1960,113.8,54.9,40.7,13.7,3.5,0.8,0.2,0.0,0.0
1983,23,1960,113.2,50.1,41.6,15.7,4.3,1.1,0.3,0.1,0.0
1984,24,1960,114.0,47.2,42.3,17.4,5.1,1.4,0.4,0.1,0.1
1985,25,1960,116.1,45.5,43.0,19.1,5.9,1.8,0.5,0.2,0.1
1986,26,1960,114.2,43.0,41.8,19.8,6.6,2.0,0.7,0.2,0.1
1987,27,1960,114.3,41.1,41.7,20.8,7.2,2.3,0.8,0.3,0.1
1988,28,1960,112.1,38.2,40.7,21.2,7.8,2.6,1.0,0.4,0.2
1989,29,1960,107.6,34.5,38.8,21.3,8.2,2.9,1.1,0.5,0.3
1990,30,1960,101.4,30.4,36.5,21.0,8.3,3.1,1.2,0.5,0.4
1991,31,1960,90.3,25.1,32.6,19.4,7.9,3.0,1.3,0.6,0.4
1992,32,1960,80.2,20.7,28.8,17.8,7.6,2.9,1.3,0.6,0.5
1993,33,1960,69.8,16.9,24.8,15.9,6.9,2.8,1.3,0.6,0.6
1994,34,1960,60.2,14.1,20.7,14.1,6.3,2.6,1.2,0.6,0.6
1995,35,1960,50.9,11.6,17.2,12.1,5.5,2.3,1.1,0.5,0.6
1996,36,1960,43.0,9.6,14.1,10.2,4.9,2.1,1.0,0.5,0.6
1997,37,1960,35.0,7.7,11.2,8.2,4.1,1.8,0.9,0.5,0.6
1998,38,1960,28.2,6.0,8.8,6.5,3.4,1.6,0.8,0.5,0.6
1999,39,1960,21.5,4.5,6.6,4.8,2.6,1.3,0.7,0.4,0.6
2000,40,1960,16.2,3.5,4.8,3.6,2.0,1.0,0.5,0.3,0.5
2001,41,1960,11.1,2.4,3.2,2.4,1.4,0.7,0.4,0.2,0.4
2002,42,1960,7.4,1.6,2.1,1.5,0.9,0.5,0.3,0.2,0.3
2003,43,1960,4.7,1.0,1.3,0.9,0.6,0.3,0.2,0.1,0.3
2004,44,1960,2.8,0.6,0.7,0.5,0.4,0.2,0.1,0.1,0.2
2005,45,1960,1.6,0.4,0.4,0.3,0.2,0.1,0.1,0.0,0.1
2006,46,1960,0.9,0.2,0.2,0.2,0.1,0.1,0.0,0.0,0.1
2007,47,1960,0.3,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0
2008,48,1960,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2009,49,1960,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975,14,1961,7.2,7.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1976,15,1961,18.5,17.1,1.3,0.1,0.0,NaN,NaN,NaN,NaN
1977,16,1961,34.2,30.1,3.8,0.3,0.0,NaN,NaN,NaN,NaN
1978,17,1961,52.0,42.4,8.4,1.1,0.1,NaN,NaN,NaN,NaN
1979,18,1961,72.2,54.3,15.1,2.5,0.3,NaN,NaN,NaN,NaN
1980,19,1961,88.8,60.9,22.5,4.6,0.8,NaN,NaN,NaN,NaN
1981,20,1961,99.5,60.7,29.5,7.4,1.5,0.3,0.1,0.0,0.0
1982,21,1961,107.5,57.6,36.1,10.7,2.5,0.5,0.1,0.0,0.0
1983,22,1961,109.8,52.9,39.1,13.4,3.4,0.8,0.2,0.0,0.0
1984,23,1961,112.2,49.6,41.2,15.6,4.3,1.1,0.3,0.1,0.0
1985,24,1961,115.5,47.8,42.7,17.8,5.2,1.5,0.4,0.1,0.0
1986,25,1961,114.5,45.4,41.8,18.9,6.0,1.7,0.5,0.1,0.1
1987,26,1961,115.4,43.9,41.8,20.0,6.7,2.0,0.7,0.2,0.1
1988,27,1961,117.2,42.7,42.1,21.2,7.5,2.4,0.8,0.3,0.2
1989,28,1961,115.0,39.6,41.2,21.7,8.1,2.8,1.0,0.4,0.2
1990,29,1961,111.0,35.9,39.8,21.8,8.4,3.1,1.2,0.5,0.3
1991,30,1961,99.4,29.9,35.9,20.4,8.1,3.0,1.2,0.5,0.4
1992,31,1961,90.3,25.3,32.7,19.1,7.9,3.0,1.3,0.6,0.4
1993,32,1961,80.5,21.0,29.2,17.6,7.4,2.9,1.3,0.6,0.5
1994,33,1961,70.4,17.5,25.1,16.0,6.8,2.7,1.2,0.6,0.5
1995,34,1961,60.9,14.5,21.2,14.3,6.2,2.5,1.1,0.5,0.6
1996,35,1961,52.3,12.0,17.8,12.4,5.6,2.3,1.1,0.5,0.6
1997,36,1961,43.7,9.8,14.4,10.4,4.9,2.1,1.0,0.5,0.6
1998,37,1961,36.3,7.9,11.6,8.6,4.3,1.9,0.9,0.5,0.6
1999,38,1961,28.7,6.1,9.1,6.7,3.4,1.6,0.8,0.4,0.6
2000,39,1961,22.9,4.9,6.9,5.2,2.8,1.4,0.7,0.4,0.6
2001,40,1961,16.7,3.6,4.9,3.7,2.1,1.0,0.6,0.3,0.5
2002,41,1961,11.7,2.5,3.4,2.4,1.5,0.8,0.4,0.3,0.4
2003,42,1961,7.8,1.7,2.2,1.6,1.0,0.5,0.3,0.2,0.3
2004,43,1961,4.9,1.1,1.3,1.0,0.6,0.3,0.2,0.1,0.3
2005,44,1961,2.9,0.6,0.7,0.6,0.4,0.2,0.1,0.1,0.2
2006,45,1961,1.6,0.4,0.4,0.3,0.2,0.1,0.1,0.0,0.1
2007,46,1961,0.9,0.2,0.2,0.2,0.1,0.1,0.0,0.0,0.1
2008,47,1961,0.3,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0
2009,48,1961,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
1976,14,1962,6.8,6.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1977,15,1962,18.1,16.7,1.3,0.1,0.0,NaN,NaN,NaN,NaN
1978,16,1962,32.4,28.4,3.7,0.3,0.0,NaN,NaN,NaN,NaN
1979,17,1962,52.0,42.7,8.2,1.0,0.1,NaN,NaN,NaN,NaN
1980,18,1962,71.8,54.3,14.8,2.4,0.3,NaN,NaN,NaN,NaN
1981,19,1962,86.3,59.1,21.9,4.5,0.8,NaN,NaN,NaN,NaN
1982,20,1962,98.4,59.4,29.6,7.5,1.6,0.3,0.0,0.0,0.0
1983,21,1962,103.5,55.4,34.5,10.5,2.4,0.6,0.1,0.0,0.0
1984,22,1962,108.3,52.1,38.4,13.3,3.5,0.8,0.2,0.0,0.0
1985,23,1962,113.3,50.1,41.4,15.9,4.4,1.1,0.3,0.1,0.0
1986,24,1962,113.7,47.5,41.4,17.6,5.2,1.5,0.4,0.1,0.0
1987,25,1962,115.2,46.0,41.6,18.9,6.1,1.8,0.5,0.2,0.1
1988,26,1962,118.0,45.4,42.1,20.4,6.9,2.2,0.7,0.2,0.1
1989,27,1962,120.2,44.0,42.7,21.7,7.8,2.6,0.9,0.3,0.2
1990,28,1962,118.2,41.1,42.0,22.2,8.3,2.9,1.1,0.4,0.2
1991,29,1962,108.6,35.5,38.9,21.1,8.2,3.0,1.2,0.4,0.3
1992,30,1962,99.4,30.3,36.1,20.0,8.0,2.9,1.2,0.5,0.4
1993,31,1962,90.6,25.8,33.2,18.8,7.6,2.9,1.2,0.6,0.5
1994,32,1962,81.4,21.8,29.6,17.7,7.2,2.8,1.2,0.6,0.5
1995,33,1962,71.5,18.0,25.7,16.2,6.7,2.7,1.2,0.5,0.5
1996,34,1962,62.4,15.0,21.9,14.5,6.3,2.5,1.1,0.5,0.6
1997,35,1962,53.4,12.4,18.2,12.6,5.7,2.3,1.1,0.5,0.6
1998,36,1962,45.3,10.2,15.0,10.8,5.1,2.1,1.0,0.5,0.6
1999,37,1962,37.3,8.2,12.1,8.8,4.3,1.9,0.9,0.5,0.6
2000,38,1962,30.5,6.6,9.6,7.1,3.6,1.7,0.8,0.5,0.6
2001,39,1962,23.5,5.1,7.2,5.3,2.8,1.4,0.7,0.4,0.6
2002,40,1962,17.2,3.7,5.2,3.7,2.1,1.1,0.6,0.3,0.5
2003,41,1962,12.2,2.7,3.6,2.6,1.5,0.8,0.4,0.2,0.4
2004,42,1962,8.1,1.8,2.2,1.7,1.0,0.5,0.3,0.2,0.4
2005,43,1962,5.0,1.1,1.3,1.0,0.6,0.4,0.2,0.1,0.3
2006,44,1962,3.1,0.7,0.8,0.6,0.4,0.2,0.1,0.1,0.2
2007,45,1962,1.6,0.4,0.4,0.3,0.2,0.1,0.1,0.0,0.1
2008,46,1962,0.9,0.2,0.2,0.2,0.1,0.1,0.0,0.0,0.1
2009,47,1962,0.3,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0
1977,14,1963,6.6,6.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1978,15,1963,17.0,15.7,1.2,0.1,0.0,NaN,NaN,NaN,NaN
1979,16,1963,32.5,28.5,3.7,0.3,0.0,NaN,NaN,NaN,NaN
1980,17,1963,51.7,42.5,8.1,1.0,0.1,NaN,NaN,NaN,NaN
1981,18,1963,69.9,52.8,14.4,2.4,0.3,NaN,NaN,NaN,NaN
1982,19,1963,85.7,58.3,22.0,4.6,0.8,NaN,NaN,NaN,NaN
1983,20,1963,94.9,57.5,28.2,7.4,1.5,0.3,0.0,0.0,0.0
1984,21,1963,102.2,54.8,33.8,10.4,2.5,0.6,0.1,0.0,0.0
1985,22,1963,109.8,52.8,38.8,13.6,3.6,0.8,0.2,0.0,0.0
1986,23,1963,111.8,49.7,40.2,15.8,4.5,1.2,0.3,0.1,0.0
1987,24,1963,114.1,47.9,41.2,17.6,5.4,1.5,0.4,0.1,0.0
1988,25,1963,117.7,47.3,41.9,19.4,6.3,1.9,0.6,0.2,0.1
1989,26,1963,121.5,46.7,42.8,21.1,7.3,2.4,0.8,0.3,0.1
1990,27,1963,123.3,45.5,43.3,22.1,8.1,2.7,1.0,0.4,0.2
1991,28,1963,115.2,40.2,40.9,21.3,8.1,2.9,1.1,0.4,0.3
1992,29,1963,108.2,35.7,38.9,20.6,8.1,2.9,1.2,0.5,0.3
1993,30,1963,99.2,30.7,36.3,19.5,7.7,2.9,1.2,0.5,0.4
1994,31,1963,91.0,26.5,33.4,18.8,7.4,2.8,1.2,0.5,0.4
1995,32,1963,82.4,22.4,30.1,17.8,7.1,2.8,1.2,0.5,0.5
1996,33,1963,73.0,18.6,26.4,16.4,6.8,2.6,1.2,0.5,0.5
1997,34,1963,63.7,15.4,22.4,14.8,6.3,2.5,1.1,0.6,0.6
1998,35,1963,55.4,12.9,19.0,13.1,5.8,2.4,1.1,0.5,0.6
1999,36,1963,46.7,10.5,15.6,11.1,5.2,2.2,1.0,0.5,0.6
2000,37,1963,39.4,8.7,12.7,9.3,4.6,2.0,1.0,0.5,0.6
2001,38,1963,31.1,6.8,9.8,7.2,3.8,1.7,0.8,0.4,0.6
2002,39,1963,24.0,5.2,7.4,5.4,2.9,1.4,0.7,0.4,0.6
2003,40,1963,18.3,4.1,5.5,4.0,2.2,1.1,0.6,0.3,0.5
2004,41,1963,12.6,2.8,3.7,2.7,1.5,0.8,0.4,0.3,0.4
2005,42,1963,8.4,1.8,2.3,1.8,1.0,0.6,0.3,0.2,0.4
2006,43,1963,5.2,1.1,1.4,1.1,0.6,0.4,0.2,0.1,0.3
2007,44,1963,3.1,0.7,0.8,0.6,0.4,0.2,0.1,0.1,0.2
2008,45,1963,1.6,0.4,0.4,0.3,0.2,0.1,0.1,0.0,0.1
2009,46,1963,0.9,0.2,0.2,0.2,0.1,0.1,0.0,0.0,0.1
1978,14,1964,6.3,6.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1979,15,1964,17.1,15.8,1.2,0.1,0.0,NaN,NaN,NaN,NaN
1980,16,1964,32.3,28.4,3.6,0.3,0.0,NaN,NaN,NaN,NaN
1981,17,1964,50.4,41.3,8.0,1.0,0.1,NaN,NaN,NaN,NaN
1982,18,1964,69.7,52.4,14.5,2.5,0.3,NaN,NaN,NaN,NaN
1983,19,1964,83.2,56.7,21.1,4.6,0.8,NaN,NaN,NaN,NaN
1984,20,1964,94.2,56.9,27.8,7.5,1.6,0.3,0.1,0.0,0.0
1985,21,1964,104.0,55.7,34.3,10.7,2.6,0.6,0.1,0.0,0.0
1986,22,1964,108.6,52.3,37.9,13.6,3.7,0.9,0.2,0.0,0.0
1987,23,1964,112.3,49.9,40.0,16.1,4.7,1.2,0.3,0.1,0.0
1988,24,1964,116.7,48.8,41.6,18.3,5.7,1.6,0.5,0.1,0.1
1989,25,1964,121.2,48.5,42.6,20.2,6.8,2.1,0.7,0.2,0.1
1990,26,1964,123.9,48.0,43.1,21.4,7.7,2.5,0.8,0.3,0.1
1991,27,1964,119.9,44.3,41.9,21.3,8.0,2.8,1.0,0.4,0.2
1992,28,1964,114.7,40.2,40.8,20.9,8.0,2.9,1.2,0.4,0.3
1993,29,1964,107.1,35.8,38.8,20.0,7.7,2.8,1.2,0.5,0.3
1994,30,1964,99.5,31.2,36.4,19.5,7.5,2.8,1.2,0.5,0.4
1995,31,1964,91.8,27.2,33.7,18.7,7.4,2.8,1.1,0.5,0.4
