2I,486,33,3933445,1945974,1987471,1665508,1664971,208111,243716,13876,14670,58479,64114,155201,151454,1521428,1525215,201348,236634,12390,13275,55607,60893,2I 486 33    3933445   1945974   1987471   1665508   1664971    208111    243716     13876     14670     58479     64114    155201    151454   1521428   1525215    201348    236634     12390     13275     55607     60893
2I,486,34,3982794,1981026,2001768,1693704,1673764,216818,251785,13540,14033,56964,62186,153325,149490,1551545,1535620,209691,244585,12175,12758,54290,59315,2I 486 34    3982794   1981026   2001768   1693704   1673764    216818    251785     13540     14033     56964     62186    153325    149490   1551545   1535620    209691    244585     12175     12758     54290     59315
2I,486,35,3747595,1855642,1891953,1582028,1576491,206032,239750,14559,16136,53023,59576,143712,141881,1448642,1445630,199455,232962,13197,14707,50636,56773,2I 486 35    3747595   1855642   1891953   1582028   1576491    206032    239750     14559     16136     53023     59576    143712    141881   1448642   1445630    199455    232962     13197     14707     50636     56773
2I,486,36,3641004,1796640,1844364,1540910,1545564,191568,226106,12446,13733,51716,58961,134412,134967,1415920,1420448,185518,219907,11345,12641,49445,56401,2I 486 36    3641004   1796640   1844364   1540910   1545564    191568    226106     12446     13733     51716     58961    134412    134967   1415920   1420448    185518    219907     11345     12641     49445     56401
2I,486,37,3627917,1786233,1841684,1535317,1548274,189135,222800,11815,12903,49966,57707,126837,128915,1417607,1429077,183283,216643,10746,11844,47760,55205,2I 486 37    3627917   1786233   1841684   1535317   1548274    189135    222800     11815     12903     49966     57707    126837    128915   1417607   1429077    183283    216643     10746     11844     47760     55205
2I,486,38,3538615,1738750,1799865,1518157,1538778,164686,196112,10830,11958,45077,53017,117650,120592,1408374,1426937,159798,190797,9867,10958,43061,50581,2I 486 38    3538615   1738750   1799865   1518157   1538778    164686    196112     10830     11958     45077     53017    117650    120592   1408374   1426937    159798    190797      9867     10958     43061     50581
2I,486,39,3808689,1884357,1924332,1650890,1654477,174859,204166,11034,11423,47574,54266,121501,124507,1538010,1539352,169585,198389,9959,10382,45302,51702,2I 486 39    3808689   1884357   1924332   1650890   1654477    174859    204166     11034     11423     47574     54266    121501    124507   1538010   1539352    169585    198389      9959     10382     45302     51702
2I,486,40,2865162,1407229,1457933,1213934,1231379,141156,168583,10660,10787,41479,47184,103489,107413,1118059,1132371,136530,163331,9605,9837,39546,44981,2I 486 40    2865162   1407229   1457933   1213934   1231379    141156    168583     10660     10787     41479     47184    103489    107413   1118059   1132371    136530    163331      9605      9837     39546     44981
2I,486,41,2856446,1402675,1453771,1216629,1235703,136439,163192,10364,11168,39243,43708,98899,101622,1124680,1141664,132146,158511,9481,10272,37469,41702,2I 486 41    2856446   1402675   1453771   1216629   1235703    136439    163192     10364     11168     39243     43708     98899    101622   1124680   1141664    132146    158511      9481     10272     37469     41702
2I,486,42,2923656,1437080,1486576,1254384,1275250,135843,160778,9925,10408,36928,40140,92546,98114,1168406,1184650,131658,155975,9120,9570,35350,38267,2I 486 42    2923656   1437080   1486576   1254384   1275250    135843    160778      9925     10408     36928     40140     92546     98114   1168406   1184650    131658    155975      9120      9570     35350     38267
2I,486,43,2954273,1449073,1505200,1269579,1296321,133827,158842,9746,10454,35921,39583,90355,96379,1185304,1207186,130023,154037,8985,9708,34406,37890,2I 486 43    2954273   1449073   1505200   1269579   1296321    133827    158842      9746     10454     35921     39583     90355     96379   1185304   1207186    130023    154037      8985      9708     34406     37890
2I,486,44,2693529,1323747,1369782,1146475,1166304,135161,158457,8556,9242,33555,35779,84938,87949,1067584,1085195,131163,154007,7910,8540,32152,34091,2I 486 44    2693529   1323747   1369782   1146475   1166304    135161    158457      8556      9242     33555     35779     84938     87949   1067584   1085195    131163    154007      7910      8540     32152     34091
2I,486,45,2488228,1219662,1268566,1055448,1078440,123524,147714,8168,8268,32522,34144,81385,84869,979760,999929,119895,143526,7522,7638,31100,32604,2I 486 45    2488228   1219662   1268566   1055448   1078440    123524    147714      8168      8268     32522     34144     81385     84869    979760    999929    119895    143526      7522      7638     31100     32604
2I,486,46,2379858,1163857,1216001,1010436,1035048,116330,141930,7714,8298,29377,30725,78639,81725,937273,959420,112715,137892,7155,7681,28075,29283,2I 486 46    2379858   1163857   1216001   1010436   1035048    116330    141930      7714      8298     29377     30725     78639     81725    937273    959420    112715    137892      7155      7681     28075     29283
2I,486,47,2412417,1178071,1234346,1019454,1050286,120048,145125,8046,8238,30523,30697,77085,81375,948253,975301,116217,140802,7464,7627,29052,29241,2I 486 47    2412417   1178071   1234346   1019454   1050286    120048    145125      8046      8238     30523     30697     77085     81375    948253    975301    116217    140802      7464      7627     29052     29241
2I,486,48,2225880,1086807,1139073,949735,978923,103520,125864,6989,7282,26563,27004,69534,73818,884938,910380,100519,122281,6496,6772,25320,25822,2I 486 48    2225880   1086807   1139073    949735    978923    103520    125864      6989      7282     26563     27004     69534     73818    884938    910380    100519    122281      6496      6772     25320     25822
2I,486,49,2277486,1114224,1163262,967157,994304,111489,132923,7258,7598,28320,28437,70981,75585,901277,924165,108117,129306,6759,7032,27090,27174,2I 486 49    2277486   1114224   1163262    967157    994304    111489    132923      7258      7598     28320     28437     70981     75585    901277    924165    108117    129306      6759      7032     27090     27174
2I,486,50,2250245,1091210,1159035,949905,992134,108445,132166,6700,7281,26160,27454,67086,72726,887509,924622,105378,128558,6184,6789,25053,26340,2I 486 50    2250245   1091210   1159035    949905    992134    108445    132166      6700      7281     26160     27454     67086     72726    887509    924622    105378    128558      6184      6789     25053     26340
2I,486,51,2203696,1070590,1133106,942291,979262,98683,121638,6450,6701,23166,25505,66088,70547,880376,913353,95853,118531,5992,6212,22281,24463,2I 486 51    2203696   1070590   1133106    942291    979262     98683    121638      6450      6701     23166     25505     66088     70547    880376    913353     95853    118531      5992      6212     22281     24463
2I,486,52,2048100,992491,1055609,867024,907115,97741,116967,6080,6583,21646,24944,59253,64328,811798,847425,95004,113794,5623,6116,20813,23946,2I 486 52    2048100    992491   1055609    867024    907115     97741    116967      6080      6583     21646     24944     59253     64328    811798    847425     95004    113794      5623      6116     20813     23946
2I,486,53,2111807,1019185,1092622,895919,941807,97237,119731,5743,6395,20286,24689,58692,64425,841064,881757,94632,116709,5323,5955,19474,23776,2I 486 53    2111807   1019185   1092622    895919    941807     97237    119731      5743      6395     20286     24689     58692     64425    841064    881757     94632    116709      5323      5955     19474     23776
2I,486,54,2204905,1058795,1146110,931166,989206,101602,125445,5792,6497,20235,24962,60789,65097,874348,928412,98798,122496,5397,6057,19463,24048,2I 486 54    2204905   1058795   1146110    931166    989206    101602    125445      5792      6497     20235     24962     60789     65097    874348    928412     98798    122496      5397      6057     19463     24048
2I,486,55,2214116,1056710,1157406,930841,1002767,100839,123765,5520,6451,19510,24423,59365,65921,875412,941472,98112,120589,5138,6011,18683,23413,2I 486 55    2214116   1056710   1157406    930841   1002767    100839    123765      5520      6451     19510     24423     59365     65921    875412    941472     98112    120589      5138      6011     18683     23413
2I,486,56,2237052,1075015,1162037,956964,1014868,94691,118278,5282,5793,18078,23098,58746,64585,901662,954418,92373,115467,4895,5386,17339,22181,2I 486 56    2237052   1075015   1162037    956964   1014868     94691    118278      5282      5793     18078     23098     58746     64585    901662    954418     92373    115467      4895      5386     17339     22181
2I,486,57,2273319,1080705,1192614,959360,1042513,98314,121032,5262,5829,17769,23240,56840,63592,905958,983424,95953,117877,4894,5423,17060,22298,2I 486 57    2273319   1080705   1192614    959360   1042513     98314    121032      5262      5829     17769     23240     56840     63592    905958    983424     95953    117877      4894      5423     17060     22298
2I,486,58,2208698,1046367,1162331,937351,1026819,87940,108785,4821,5229,16255,21498,51318,57660,889163,973071,85848,106128,4463,4855,15575,20617,2I 486 58    2208698   1046367   1162331    937351   1026819     87940    108785      4821      5229     16255     21498     51318     57660    889163    973071     85848    106128      4463      4855     15575     20617
2I,486,59,2237645,1048442,1189203,934253,1046514,92084,114713,5043,5371,17062,22605,50159,57948,887376,992601,89852,111989,4682,4978,16373,21687,2I 486 59    2237645   1048442   1189203    934253   1046514     92084    114713      5043      5371     17062     22605     50159     57948    887376    992601     89852    111989      4682      4978     16373     21687
2I,486,60,2202783,1021779,1181004,909391,1038085,91198,116221,4732,5156,16458,21542,47317,54288,865162,987545,89113,113728,4402,4772,15785,20671,2I 486 60    2202783   1021779   1181004    909391   1038085     91198    116221      4732      5156     16458     21542     47317     54288    865162    987545     89113    113728      4402      4772     15785     20671
2I,486,61,2228194,1035957,1192237,931841,1059121,83888,108343,4435,5080,15793,19693,45872,52677,888753,1009821,82042,106052,4095,4749,15195,18938,2I 486 61    2228194   1035957   1192237    931841   1059121     83888    108343      4435      5080     15793     19693     45872     52677    888753   1009821     82042    106052      4095      4749     15195     18938
2I,486,62,2147484,993660,1153824,890198,1021274,82813,108270,4551,5031,16098,19249,43449,48615,849350,976062,81064,105958,4244,4692,15553,18497,2I 486 62    2147484    993660   1153824    890198   1021274     82813    108270      4551      5031     16098     19249     43449     48615    849350    976062     81064    105958      4244      4692     15553     18497
2I,486,63,2093491,969647,1123844,872489,998302,77665,102655,4247,4667,15246,18220,40563,45718,834325,955740,76075,100561,3982,4364,14702,17461,2I 486 63    2093491    969647   1123844    872489    998302     77665    102655      4247      4667     15246     18220     40563     45718    834325    955740     76075    100561      3982      4364     14702     17461
2I,486,64,2217421,1021477,1195944,923513,1068454,78952,104705,4054,4714,14958,18071,39670,46012,886071,1025545,77432,102454,3816,4470,14488,17463,2I 486 64    2217421   1021477   1195944    923513   1068454     78952    104705      4054      4714     14958     18071     39670     46012    886071   1025545     77432    102454      3816      4470     14488     17463
2I,486,65,2075736,949994,1125742,855362,1001103,77020,103349,3850,4281,13762,17009,35298,42500,822205,961701,75563,101189,3606,4003,13322,16349,2I 486 65    2075736    949994   1125742    855362   1001103     77020    103349      3850      4281     13762     17009     35298     42500    822205    961701     75563    101189      3606      4003     13322     16349
2I,486,66,1935337,877346,1057991,792225,944739,69373,93957,3284,3906,12464,15389,33030,39969,761189,907552,68015,92028,3096,3688,12016,14754,2I 486 66    1935337    877346   1057991    792225    944739     69373     93957      3284      3906     12464     15389     33030     39969    761189    907552     68015     92028      3096      3688     12016     14754
2I,486,67,1887567,846527,1041040,762834,929352,68855,93461,3128,3736,11710,14491,27943,35908,736704,895919,67590,91697,2950,3541,11340,13975,2I 486 67    1887567    846527   1041040    762834    929352     68855     93461      3128      3736     11710     14491     27943     35908    736704    895919     67590     91697      2950      3541     11340     13975
2I,486,68,1827041,812178,1014863,736281,912784,62291,85473,2833,3452,10773,13154,26364,34141,711633,880868,61121,83955,2650,3247,10410,12652,2I 486 68    1827041    812178   1014863    736281    912784     62291     85473      2833      3452     10773     13154     26364     34141    711633    880868     61121     83955      2650      3247     10410     12652
2I,486,69,1757941,763158,994783,685215,888294,64122,89630,2818,3496,11003,13363,23654,32535,663403,858188,62868,87938,2623,3300,10610,12822,2I 486 69    1757941    763158    994783    685215    888294     64122     89630      2818      3496     11003     13363     23654     32535    663403    858188     62868     87938      2623      3300     10610     12822
2I,486,70,1645566,711263,934303,638514,833237,60295,85935,2550,3124,9904,12007,21638,29551,618390,805692,59252,84486,2397,2959,9586,11615,2I 486 70    1645566    711263    934303    638514    833237     60295     85935      2550      3124      9904     12007     21638     29551    618390    805692     59252     84486      2397      2959      9586     11615
2I,486,71,1597608,679650,917958,616166,826768,51764,77020,2354,3302,9366,10868,21577,30304,595985,798502,50846,75621,2248,3108,8994,10423,2I 486 71    1597608    679650    917958    616166    826768     51764     77020      2354      3302      9366     10868     21577     30304    595985    798502     50846     75621      2248      3108      8994     10423
2I,486,72,1503528,631498,872030,572240,784472,47995,74151,2257,3073,9006,10334,20111,28754,553498,757658,47197,72801,2137,2908,8555,9909,2I 486 72    1503528    631498    872030    572240    784472     47995     74151      2257      3073      9006     10334     20111     28754    553498    757658     47197     72801      2137      2908      8555      9909
2I,486,73,1433991,595845,838146,541797,756377,43929,69580,2057,2850,8062,9339,19134,27510,523882,730567,43173,68396,1946,2705,7710,8968,2I 486 73    1433991    595845    838146    541797    756377     43929     69580      2057      2850      8062      9339     19134     27510    523882    730567     43173     68396      1946      2705      7710      8968
2I,486,74,1391546,567741,823805,514445,743850,43390,68303,2012,2821,7894,8831,18197,26657,497536,719002,42641,67027,1904,2660,7463,8459,2I 486 74    1391546    567741    823805    514445    743850     43390     68303      2012      2821      7894      8831     18197     26657    497536    719002     42641     67027      1904      2660      7463      8459
2I,486,75,1304746,525611,779135,475608,703682,41129,64847,1838,2476,7036,8130,17436,25249,459420,679777,40398,63913,1690,2360,6667,7836,2I 486 75    1304746    525611    779135    475608    703682     41129     64847      1838      2476      7036      8130     17436     25249    459420    679777     40398     63913      1690      2360      6667      7836
2I,486,76,1202059,474106,727953,429267,659419,36844,59083,1610,2426,6385,7025,15227,22555,415069,638245,36227,58105,1498,2302,6085,6746,2I 486 76    1202059    474106    727953    429267    659419     36844     59083      1610      2426      6385      7025     15227     22555    415069    638245     36227     58105      1498      2302      6085      6746
2I,486,77,1121049,431324,689725,389228,624788,34459,56351,1553,2319,6084,6267,14141,20916,376068,605146,33896,55433,1480,2189,5739,6041,2I 486 77    1121049    431324    689725    389228    624788     34459     56351      1553      2319      6084      6267     14141     20916    376068    605146     33896     55433      1480      2189      5739      6041
2I,486,78,1028993,388013,640980,351097,583965,30093,49428,1322,2037,5501,5550,13017,18934,338973,566058,29571,48716,1255,1940,5197,5332,2I 486 78    1028993    388013    640980    351097    583965     30093     49428      1322      2037      5501      5550     13017     18934    338973    566058     29571     48716      1255      1940      5197      5332
2I,486,79,952777,350446,602331,315145,546423,28982,48978,1209,1902,5110,5028,12004,17791,304004,529677,28492,48197,1131,1825,4815,4841,2I 486 79     952777    350446    602331    315145    546423     28982     48978      1209      1902      5110      5028     12004     17791    304004    529677     28492     48197      1131      1825      4815      4841
2I,486,80,847417,304605,542812,274890,494743,24610,42225,1035,1593,4070,4251,10624,15667,264979,479890,24168,41652,988,1526,3846,4077,2I 486 80     847417    304605    542812    274890    494743     24610     42225      1035      1593      4070      4251     10624     15667    264979    479890     24168     41652       988      1526      3846      4077
